INFO:root:Rebuilding indexes due to updated legal_data.json
INFO:sentence_transformers.SentenceTransformer:Use pytorch device_name: cuda
INFO:sentence_transformers.SentenceTransformer:Load pretrained SentenceTransformer: sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
INFO:root:Processing entry 0: part_000
INFO:root:Processing entry 1: part_001
INFO:root:Processing entry 2: part_002
INFO:root:Processing entry 3: part_003
INFO:root:Processing entry 4: part_004
INFO:root:Processing entry 5: part_005
INFO:root:Processing entry 6: part_006
INFO:root:Processing entry 7: part_007
INFO:root:Processing entry 8: part_008
INFO:root:Processing entry 9: part_009
INFO:root:Processing entry 10: part_010
INFO:root:Processing entry 11: part_011
INFO:root:Processing entry 12: part_012
INFO:root:Processing entry 13: part_013
INFO:root:Processing entry 14: part_014
INFO:root:Processing entry 15: part_015
INFO:root:Processing entry 16: part_016
INFO:root:Processing entry 17: part_017
INFO:root:Processing entry 18: part_018
INFO:root:Processing entry 19: part_019
INFO:root:Processing entry 20: part_020
INFO:root:Processing entry 21: part_021
INFO:root:Processing entry 22: part_022
INFO:root:Processing entry 23: part_023
INFO:root:Processing entry 24: part_024
INFO:root:Processing entry 25: part_025
INFO:root:Processing entry 26: part_026
INFO:root:Processing entry 27: part_027
INFO:root:Processing entry 28: part_028
INFO:root:Processing entry 29: part_029
INFO:root:Processing entry 30: part_030
INFO:root:Processing entry 31: part_031
INFO:root:Processing entry 32: part_032
INFO:root:Processing entry 33: part_033
INFO:root:Processing entry 34: part_034
INFO:root:Processing entry 35: part_035
INFO:root:Processing entry 36: part_036
INFO:root:Processing entry 37: part_037
INFO:root:Processing entry 38: part_038
INFO:root:Processing entry 39: part_039
INFO:root:Processing entry 40: part_040
INFO:root:Processing entry 41: part_041
INFO:root:Processing entry 42: part_042
INFO:root:Processing entry 43: part_043
INFO:root:Processing entry 44: part_044
INFO:root:Processing entry 45: part_045
INFO:root:Processing entry 46: part_046
INFO:root:Processing entry 47: part_047
INFO:root:Processing entry 48: part_048
INFO:root:Processing entry 49: part_049
INFO:root:Processing entry 50: part_050
INFO:root:Processing entry 51: part_051
INFO:root:Processing entry 52: part_052
INFO:root:Processing entry 53: part_053
INFO:root:Processing entry 54: part_054
INFO:root:Processing entry 55: part_055
INFO:root:Processing entry 56: part_056
INFO:root:Processing entry 57: part_057
INFO:root:Processing entry 58: part_058
INFO:root:Processing entry 59: part_059
INFO:root:Processing entry 60: part_060
INFO:root:Processing entry 61: part_061
INFO:root:Processing entry 62: part_062
INFO:root:Processing entry 63: part_063
INFO:root:Processing entry 64: part_064
INFO:root:Processing entry 65: part_065
INFO:root:Processing entry 66: part_066
INFO:root:Processing entry 67: part_067
INFO:root:Processing entry 68: part_068
INFO:root:Processing entry 69: part_069
INFO:root:Processing entry 70: part_070
INFO:root:Processing entry 71: part_071
INFO:root:Processing entry 72: part_072
INFO:root:Processing entry 73: part_073
INFO:root:Processing entry 74: part_074
INFO:root:Processing entry 75: part_075
INFO:root:Processing entry 76: part_076
INFO:root:Processing entry 77: part_077
INFO:root:Processing entry 78: part_078
INFO:root:Processing entry 79: part_079
INFO:root:Processing entry 80: part_080
INFO:root:Processing entry 81: part_081
INFO:root:Processing entry 82: part_082
INFO:root:Processing entry 83: part_083
INFO:root:Processing entry 84: part_084
INFO:root:Processing entry 85: part_085
INFO:root:Processing entry 86: part_086
INFO:root:Processing entry 87: part_087
INFO:root:Processing entry 88: part_088
INFO:root:Processing entry 89: part_089
INFO:root:Processing entry 90: part_090
INFO:root:Processing entry 91: part_091
INFO:root:Processing entry 92: part_092
INFO:root:Processing entry 93: part_093
INFO:root:Processing entry 94: part_094
INFO:root:Processing entry 95: part_095
INFO:root:Processing entry 96: part_096
INFO:root:Processing entry 97: part_097
INFO:root:Processing entry 98: part_098
INFO:root:Processing entry 99: part_099
INFO:root:Processing entry 100: part_100
INFO:root:Processing entry 101: part_101
INFO:root:Processing entry 102: part_102
INFO:root:Processing entry 103: part_103
INFO:root:Processing entry 104: part_104
INFO:root:Processing entry 105: part_105
INFO:root:Processing entry 106: part_106
INFO:root:Processing entry 107: part_107
INFO:root:Processing entry 108: part_108
INFO:root:Processing entry 109: part_109
INFO:root:Processing entry 110: part_110
INFO:root:Processing entry 111: part_111
INFO:root:Processing entry 112: part_112
INFO:root:Processing entry 113: part_113
INFO:root:Processing entry 114: part_114
INFO:root:Processing entry 115: part_115
INFO:root:Processing entry 116: part_116
INFO:root:Processing entry 117: part_117
INFO:root:Processing entry 118: part_118
INFO:root:Processing entry 119: part_119
INFO:root:Processing entry 120: part_120
INFO:root:Processing entry 121: part_121
INFO:root:Processing entry 122: part_122
INFO:root:Processing entry 123: part_123
INFO:root:Processing entry 124: part_124
INFO:root:Processing entry 125: part_125
INFO:root:Processing entry 126: part_126
INFO:root:Processing entry 127: part_127
INFO:root:Processing entry 128: part_128
INFO:root:Processing entry 129: part_129
INFO:root:Processing entry 130: part_130
INFO:root:Processing entry 131: part_131
INFO:root:Processing entry 132: part_132
INFO:root:Processing entry 133: part_133
INFO:root:Processing entry 134: part_134
INFO:root:Processing entry 135: part_135
INFO:root:Processing entry 136: part_136
INFO:root:Processing entry 137: part_137
INFO:root:Processing entry 138: part_138
INFO:root:Processing entry 139: part_139
INFO:root:Processing entry 140: part_140
INFO:root:Processing entry 141: part_141
INFO:root:Processing entry 142: part_142
INFO:root:Processing entry 143: part_143
INFO:root:Processing entry 144: part_144
INFO:root:Processing entry 145: part_145
INFO:root:Processing entry 146: part_146
INFO:root:Processing entry 147: part_147
INFO:root:Processing entry 148: part_148
INFO:root:Processing entry 149: part_149
INFO:root:Processing entry 150: part_150
INFO:root:Processing entry 151: part_151
INFO:root:Processing entry 152: part_152
INFO:root:Processing entry 153: part_153
INFO:root:Processing entry 154: part_154
INFO:root:Processing entry 155: part_155
INFO:root:Processing entry 156: part_156
INFO:root:Processing entry 157: part_157
INFO:root:Processing entry 158: part_158
INFO:root:Processing entry 159: part_159
INFO:root:Processing entry 160: part_160
INFO:root:Processing entry 161: part_161
INFO:root:Processing entry 162: part_162
INFO:root:Processing entry 163: part_163
INFO:root:Processing entry 164: part_164
INFO:root:Processing entry 165: part_165
INFO:root:Processing entry 166: part_166
INFO:root:Processing entry 167: part_167
INFO:root:Processing entry 168: part_168
INFO:root:Processing entry 169: part_169
INFO:root:Processing entry 170: part_170
INFO:root:Processing entry 171: part_171
INFO:root:Processing entry 172: part_172
INFO:root:Processing entry 173: part_173
INFO:root:Processing entry 174: part_174
INFO:root:Processing entry 175: part_175
INFO:root:Processing entry 176: part_176
INFO:root:Processing entry 177: part_177
INFO:root:Processing entry 178: part_178
INFO:root:Processing entry 179: part_179
INFO:root:Processing entry 180: part_180
INFO:root:Processing entry 181: part_181
INFO:root:Processing entry 182: part_182
INFO:root:Processing entry 183: part_183
INFO:root:Processing entry 184: part_184
INFO:root:Processing entry 185: part_185
INFO:root:Processing entry 186: part_186
INFO:root:Processing entry 187: part_187
INFO:root:Processing entry 188: part_188
INFO:root:Processing entry 189: part_189
INFO:root:Processing entry 190: part_190
INFO:root:Processing entry 191: part_191
INFO:root:Processing entry 192: part_192
INFO:root:Processing entry 193: part_193
INFO:root:Processing entry 194: part_194
INFO:root:Processing entry 195: part_195
INFO:root:Processing entry 196: part_196
INFO:root:Processing entry 197: part_197
INFO:root:Processing entry 198: part_198
INFO:root:Processing entry 199: part_199
INFO:root:Processing entry 200: part_200
INFO:root:Processing entry 201: part_201
INFO:root:Processing entry 202: part_202
INFO:root:Processing entry 203: part_203
INFO:root:Processing entry 204: part_204
INFO:root:Processing entry 205: part_205
INFO:root:Processing entry 206: part_206
INFO:root:Processing entry 207: part_207
INFO:root:Processing entry 208: part_208
INFO:root:Processing entry 209: part_209
INFO:root:Processing entry 210: part_210
INFO:root:Processing entry 211: part_211
INFO:root:Processing entry 212: part_212
INFO:root:Processing entry 213: part_213
INFO:root:Processing entry 214: part_214
INFO:root:Processing entry 215: part_215
INFO:root:Processing entry 216: part_216
INFO:root:Processing entry 217: part_217
INFO:root:Processing entry 218: part_218
INFO:root:Processing entry 219: part_219
INFO:root:Processing entry 220: part_220
INFO:root:Processing entry 221: part_221
INFO:root:Processing entry 222: part_222
INFO:root:Processing entry 223: part_223
INFO:root:Processing entry 224: part_224
INFO:root:Processing entry 225: part_225
INFO:root:Processing entry 226: part_226
INFO:root:Processing entry 227: part_227
INFO:root:Processing entry 228: part_228
INFO:root:Processing entry 229: part_229
INFO:root:Processing entry 230: part_230
INFO:root:Processing entry 231: part_231
INFO:root:Processing entry 232: part_232
INFO:root:Processing entry 233: part_233
INFO:root:Processing entry 234: part_234
INFO:root:Processing entry 235: part_235
INFO:root:Processing entry 236: part_236
INFO:root:Processing entry 237: part_237
INFO:root:Processing entry 238: part_238
INFO:root:Processing entry 239: part_239
INFO:root:Processing entry 240: part_240
INFO:root:Processing entry 241: part_241
INFO:root:Processing entry 242: part_242
INFO:root:Processing entry 243: part_243
INFO:root:Processing entry 244: part_244
INFO:root:Processing entry 245: part_245
INFO:root:Processing entry 246: part_246
INFO:root:Processing entry 247: part_247
INFO:root:Processing entry 248: part_248
INFO:root:Processing entry 249: part_249
INFO:root:Processing entry 250: part_250
INFO:root:Processing entry 251: part_251
INFO:root:Processing entry 252: part_252
INFO:root:Processing entry 253: part_253
INFO:root:Processing entry 254: part_254
INFO:root:Processing entry 255: part_255
INFO:root:Processing entry 256: part_256
INFO:root:Processing entry 257: part_257
INFO:root:Processing entry 258: part_258
INFO:root:Processing entry 259: part_259
INFO:root:Processing entry 260: part_260
INFO:root:Processing entry 261: part_261
INFO:root:Processing entry 262: part_262
INFO:root:Processing entry 263: part_263
INFO:root:Processing entry 264: part_264
INFO:root:Processing entry 265: part_265
INFO:root:Processing entry 266: part_266
INFO:root:Processing entry 267: part_267
INFO:root:Processing entry 268: part_268
INFO:root:Processing entry 269: part_269
INFO:root:Processing entry 270: part_270
INFO:root:Processing entry 271: part_271
INFO:root:Processing entry 272: part_272
INFO:root:Processing entry 273: part_273
INFO:root:Processing entry 274: part_274
INFO:root:Processing entry 275: part_275
INFO:root:Processing entry 276: part_276
INFO:root:Processing entry 277: part_277
INFO:root:Processing entry 278: part_278
INFO:root:Processing entry 279: part_279
INFO:root:Processing entry 280: part_280
INFO:root:Processing entry 281: part_281
INFO:root:Processing entry 282: part_282
INFO:root:Processing entry 283: part_283
INFO:root:Processing entry 284: part_284
INFO:root:Processing entry 285: part_285
INFO:root:Processing entry 286: part_286
INFO:root:Processing entry 287: part_287
INFO:root:Processing entry 288: part_288
INFO:root:Processing entry 289: part_289
INFO:root:Processing entry 290: part_290
INFO:root:Processing entry 291: part_291
INFO:root:Processing entry 292: part_292
INFO:root:Processing entry 293: part_293
INFO:root:Processing entry 294: part_294
INFO:root:Processing entry 295: part_295
INFO:root:Processing entry 296: part_296
INFO:root:Processing entry 297: part_297
INFO:root:Processing entry 298: part_298
INFO:root:Processing entry 299: part_299
INFO:root:Processing entry 300: part_300
INFO:root:Processing entry 301: part_301
INFO:root:Processing entry 302: part_302
INFO:root:Processing entry 303: part_303
INFO:root:Processing entry 304: part_304
INFO:root:Processing entry 305: part_305
INFO:root:Processing entry 306: part_306
INFO:root:Processing entry 307: part_307
INFO:root:Processing entry 308: part_308
INFO:root:Processing entry 309: part_309
INFO:root:Processing entry 310: part_310
INFO:root:Processing entry 311: part_311
INFO:root:Processing entry 312: part_312
INFO:root:Processing entry 313: part_313
INFO:root:Processing entry 314: part_314
INFO:root:Processing entry 315: part_315
INFO:root:Processing entry 316: part_316
INFO:root:Processing entry 317: part_317
INFO:root:Processing entry 318: part_318
INFO:root:Processing entry 319: part_319
INFO:root:Processing entry 320: part_320
INFO:root:Processing entry 321: part_321
INFO:root:Processing entry 322: part_322
INFO:root:Processing entry 323: part_323
INFO:root:Processing entry 324: part_324
INFO:root:Processing entry 325: part_325
INFO:root:Processing entry 326: part_326
INFO:root:Processing entry 327: part_327
INFO:root:Processing entry 328: part_328
INFO:root:Processing entry 329: part_329
INFO:root:Processing entry 330: part_330
INFO:root:Processing entry 331: part_331
INFO:root:Processing entry 332: part_332
